"","pkg","ver"
"1","tidyselect","1.1.0"
"2","sf","0.9-6"
"3","haven","2.3.1"
"4","colorspace","2.0-0"
"5","vctrs","0.3.6"
"6","generics","0.1.0"
"7","htmltools","0.5.1.1"
"8","yaml","2.2.1"
"9","rlang","0.4.10"
"10","e1071","1.7-4"
"11","later","1.1.0.1"
"12","pillar","1.4.7"
"13","glue","1.4.2"
"14","withr","2.4.1"
"15","DBI","1.1.1.9000"
"16","dbplyr","2.0.0"
"17","modelr","0.1.8"
"18","readxl","1.3.1"
"19","lifecycle","0.2.0"
"20","munsell","0.5.0"
"21","gtable","0.3.0"
"22","cellranger","1.1.0"
"23","rvest","0.3.6"
"24","htmlwidgets","1.5.3"
"25","fastmap","1.1.0"
"26","httpuv","1.5.5"
"27","class","7.3-18"
"28","r2d3","0.2.3"
"29","broom","0.7.2"
"30","Rcpp","1.0.6"
"31","KernSmooth","2.23-18"
"32","xtable","1.8-4"
"33","promises","1.1.1"
"34","backports","1.2.0"
"35","scales","1.1.1"
"36","classInt","0.4-3"
"37","jsonlite","1.7.2"
"38","fs","1.5.0"
"39","mime","0.9"
"40","hms","0.5.3"
"41","digest","0.6.27"
"42","stringi","1.5.3"
"43","grid","4.0.3"
"44","cli","2.3.0"
"45","tools","4.0.3"
"46","bitops","1.0-6"
"47","magrittr","2.0.1"
"48","RCurl","1.98-1.2"
"49","crayon","1.4.0"
"50","pkgconfig","2.0.3"
"51","ellipsis","0.3.1"
"52","xml2","1.3.2"
"53","reprex","0.3.0"
"54","lubridate","1.7.9.2"
"55","rstudioapi","0.13"
"56","assertthat","0.2.1"
"57","httr","1.4.2"
"58","R6","2.5.0"
"59","units","0.6-7"
"60","compiler","4.0.3"
"61","forcats","0.5.0"
"62","stringr","1.4.0"
"63","dplyr","1.0.2"
"64","purrr","0.3.4"
"65","readr","1.4.0"
"66","tidyr","1.1.2"
"67","tibble","3.0.6"
"68","ggplot2","3.3.3"
"69","tidyverse","1.3.0"
"70","shinysense","0.2.0"
"71","shiny","1.5.0"
